STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,2,2,30,1,3,C,04,J12230,NEB-13C,,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 3m 이상 5m미만,1122.05405117,11428.8551035,37.0760279,125.9508963,인천광역시
1,2,2,30,1,3,C,06,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 5m 이상 7m미만,83.9890493805,434.692484983,37.0775326,125.9471924,인천광역시
1,2,2,30,1,3,C,08,J12230,NEB-13C,2021,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 7m 이상 9m미만,138.132605982,767.337799774,37.0780715,126.0146252,인천광역시
1,2,2,30,1,3,C,04,J12230,NEB-13C,2021,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 3m 이상 5m미만,612.359367324,12318.8157591,37.0785469,126.0132389,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2021,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,645.104220118,7265.00041965,37.0782495,125.9446146,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,148.856189586,905.40131438,37.0793927,125.9455662,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,731.490158742,6955.44275353,37.0793846,125.9420903,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,368.852641738,5708.65398639,37.0799941,125.9446162,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,300.247646148,3898.94312892,37.0802811,125.9721413,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,151.010241709,1143.42864282,37.0804432,125.9467387,인천광역시
1,2,2,30,1,3,C,02,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 1m 이상 3m미만,276.964995848,1684.31312554,37.0807795,125.9474753,인천광역시
1,2,2,30,1,3,C,12,J12230,NEB-13C,2020,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 11m 이상 13m미만,1067.15652895,19287.3287761,37.080894,125.9432742,인천광역시
1,2,2,30,1,3,C,04,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 3m 이상 5m미만,429.323384144,5325.8429382,37.0815929,125.9891264,인천광역시
1,2,2,30,1,3,C,08,J12230,NEB-13C,,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 7m 이상 9m미만,993.766686962,13456.6583052,37.0652396,126.012432,인천광역시
1,2,2,30,1,3,C,04,J12230,NEB-13C,2019,,활엽수림,기타활엽수,소경목,3영급,밀,임분고 3m 이상 5m미만,1108.55929209,23889.1667114,37.068496,126.0146262,인천광역시
1,2,2,30,2,4,B,14,J12230,NEB-24B,2018,,활엽수림,기타활엽수,중경목,4영급,중,임분고 13m 이상 15m미만,1594.89636337,50876.0022116,37.0197814,125.998927,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,910.342803375,18010.7823588,37.0204707,125.9947438,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,514.222471749,11800.6978832,37.0322083,125.9905289,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,819.448616588,25265.9687672,37.0331933,125.9850274,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2017,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,432.097052781,8593.52327124,37.0343648,125.9830685,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,636.585021527,16540.1327869,37.0349747,125.9810554,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,2042.86175933,49792.3144526,37.0351021,125.9921297,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2018,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,1120.13221098,29313.9386622,37.0364688,125.9835217,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2021,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,1145.04240936,39776.2598802,37.0385444,125.9830468,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,1144.19777934,20417.5622525,37.0387969,125.9859985,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2025,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,356.073159703,2308.786001,37.05978,125.9984707,인천광역시
1,2,2,30,2,4,C,06,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 5m 이상 7m미만,776.825092904,11428.8608631,37.0597181,125.995461,인천광역시
1,2,2,30,2,4,C,02,J12230,NEB-24C,2025,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 1m 이상 3m미만,237.56926421,1839.11320195,37.0686171,126.0172824,인천광역시
1,2,2,30,2,4,C,04,J12230,NEB-24C,2025,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 3m 이상 5m미만,420.489654753,7756.84067167,37.0698686,126.0167914,인천광역시
1,2,2,30,2,4,C,04,J12230,NEB-24C,2025,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 3m 이상 5m미만,330.160095659,4298.78462013,37.0702993,126.0152103,인천광역시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2025,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,346.981033378,4593.591833,37.0711466,125.9493713,인천광역시
1,2,2,30,2,4,C,04,J12230,NEB-24C,2025,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 3m 이상 5m미만,386.543539834,4830.42708158,37.0751387,126.0183384,인천광역시
