STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,1,2,45,2,4,C,18,J11245,APO-24C,,,활엽수림,포플러,중경목,4영급,밀,임분고 17m 이상 19m미만,349.413366831,2919.93037277,37.5579685,126.8672259,서울특별시
1,1,2,45,2,4,C,18,J11245,APO-24C,,,활엽수림,포플러,중경목,4영급,밀,임분고 17m 이상 19m미만,514.52452555,9151.58869826,37.5591734,126.8671722,서울특별시
1,1,2,45,2,5,C,16,J11245,APO-25C,2021,,활엽수림,포플러,중경목,5영급,밀,임분고 15m 이상 17m미만,212.313876778,2053.81063748,37.6008157,126.9030051,서울특별시
1,1,2,46,2,4,C,14,J11246,APS-24C,2023,,활엽수림,벚나무,중경목,4영급,밀,임분고 13m 이상 15m미만,633.01171706,8905.86563015,37.5515973,126.8582229,서울특별시
1,1,2,49,1,2,B,22,J11249,ARP-12B,2017,,활엽수림,아까시나무,소경목,2영급,중,임분고 21m 이상 23m미만,369.387344937,5328.45969612,37.5731917,126.8977416,서울특별시
1,1,2,49,1,3,B,12,J11249,ARP-13B,2020,,활엽수림,아까시나무,소경목,3영급,중,임분고 11m 이상 13m미만,489.026309004,10962.0008911,37.5688116,126.8933361,서울특별시
1,1,2,49,1,3,C,20,J11249,ARP-13C,2025,,활엽수림,아까시나무,소경목,3영급,밀,임분고 19m 이상 21m미만,1291.49592705,21190.4729677,37.5727041,126.8912196,서울특별시
1,1,2,49,2,4,C,04,J11249,ARP-24C,2019,,활엽수림,아까시나무,중경목,4영급,밀,임분고 3m 이상 5m미만,124.384752478,999.396162455,37.5426949,126.8766978,서울특별시
1,1,2,49,2,4,C,18,J11249,ARP-24C,,,활엽수림,아까시나무,중경목,4영급,밀,임분고 17m 이상 19m미만,1129.31864215,19400.8022317,37.5435084,126.8679121,서울특별시
1,1,2,49,2,4,C,30,J11249,ARP-24C,2025,,활엽수림,아까시나무,중경목,4영급,밀,임분고 29m 이상 31m미만,714.226221125,15131.9759673,37.5449931,126.8781139,서울특별시
1,1,2,49,2,4,C,14,J11249,ARP-24C,2019,,활엽수림,아까시나무,중경목,4영급,밀,임분고 13m 이상 15m미만,222.588028712,2686.59906518,37.5488363,126.8582345,서울특별시
1,1,2,49,2,4,C,16,J11249,ARP-24C,2025,,활엽수림,아까시나무,중경목,4영급,밀,임분고 15m 이상 17m미만,170.472584254,1675.98772483,37.5565054,126.8683499,서울특별시
1,1,2,49,2,4,C,16,J11249,ARP-24C,,,활엽수림,아까시나무,중경목,4영급,밀,임분고 15m 이상 17m미만,382.754376976,6370.43729187,37.5585224,126.867643,서울특별시
1,1,2,49,2,4,C,16,J11249,ARP-24C,2020,,활엽수림,아까시나무,중경목,4영급,밀,임분고 15m 이상 17m미만,403.302550503,4362.82191589,37.559136,126.8685089,서울특별시
1,1,2,49,2,4,C,30,J11249,ARP-24C,2025,,활엽수림,아까시나무,중경목,4영급,밀,임분고 29m 이상 31m미만,827.955839355,10968.3647543,37.5703203,126.8922906,서울특별시
1,1,2,49,2,4,C,20,J11249,ARP-24C,2024,,활엽수림,아까시나무,중경목,4영급,밀,임분고 19m 이상 21m미만,1220.7990231,49090.0026418,37.5731601,126.8958141,서울특별시
1,1,2,49,2,4,C,14,J11249,ARP-24C,,,활엽수림,아까시나무,중경목,4영급,밀,임분고 13m 이상 15m미만,2267.12516856,102598.053771,37.5838962,126.9015476,서울특별시
1,1,2,49,2,4,C,14,J11249,ARP-24C,2020,,활엽수림,아까시나무,중경목,4영급,밀,임분고 13m 이상 15m미만,2444.10801112,69295.5102855,37.5884159,126.8883367,서울특별시
1,1,2,49,2,4,C,16,J11249,ARP-24C,2019,,활엽수림,아까시나무,중경목,4영급,밀,임분고 15m 이상 17m미만,749.663282599,15586.2415705,37.592244,126.9085979,서울특별시
1,1,2,49,2,4,C,16,J11249,ARP-24C,2020,,활엽수림,아까시나무,중경목,4영급,밀,임분고 15m 이상 17m미만,6396.91485928,353065.034367,37.6154697,126.9032072,서울특별시
1,1,2,49,2,4,C,14,J11249,ARP-24C,2017,2015년활엽수기타기타5580본,활엽수림,아까시나무,중경목,4영급,밀,임분고 13m 이상 15m미만,2512.20499867,92249.3834635,37.5774876,126.884983,서울특별시
1,1,2,49,2,5,C,14,J11249,ARP-25C,2021,,활엽수림,아까시나무,중경목,5영급,밀,임분고 13m 이상 15m미만,408.525936422,9022.87281645,37.5861762,126.9050828,서울특별시
1,1,2,49,2,5,C,12,J11249,ARP-25C,2021,,활엽수림,아까시나무,중경목,5영급,밀,임분고 11m 이상 13m미만,1731.50519616,90568.9996546,37.5872173,126.8959829,서울특별시
1,1,2,49,2,5,C,14,J11249,ARP-25C,2025,,활엽수림,아까시나무,중경목,5영급,밀,임분고 13m 이상 15m미만,252.782477263,2710.94831812,37.5941958,126.9028539,서울특별시
1,1,2,49,2,5,C,08,J11249,ARP-25C,2023,,활엽수림,아까시나무,중경목,5영급,밀,임분고 7m 이상 9m미만,523.795428667,6588.87054381,37.5942998,126.9051628,서울특별시
1,1,2,49,2,5,C,14,J11249,ARP-25C,2021,,활엽수림,아까시나무,중경목,5영급,밀,임분고 13m 이상 15m미만,4012.94053905,235332.774068,37.5900929,126.9028462,서울특별시
1,1,2,49,2,5,C,12,J11249,ARP-25C,2021,,활엽수림,아까시나무,중경목,5영급,밀,임분고 11m 이상 13m미만,485.123532717,8270.51098271,37.5957253,126.9036278,서울특별시
1,1,2,49,2,5,C,16,J11249,ARP-25C,2021,,활엽수림,아까시나무,중경목,5영급,밀,임분고 15m 이상 17m미만,1404.25608112,73203.0678743,37.5977053,126.9026742,서울특별시
1,1,2,49,2,5,C,14,J11249,ARP-25C,2021,,활엽수림,아까시나무,중경목,5영급,밀,임분고 13m 이상 15m미만,3468.99883345,112502.673671,37.604165,126.9023259,서울특별시
1,1,2,49,3,5,C,18,J11249,ARP-35C,2017,,활엽수림,아까시나무,대경목,5영급,밀,임분고 17m 이상 19m미만,267.212647893,3194.02038355,37.5587445,126.8662755,서울특별시
1,1,2,49,3,5,C,16,J11249,ARP-35C,2023,,활엽수림,아까시나무,대경목,5영급,밀,임분고 15m 이상 17m미만,677.890616225,9060.36995615,37.5435487,126.8770081,서울특별시
1,1,2,49,3,5,C,16,J11249,ARP-35C,2023,,활엽수림,아까시나무,대경목,5영급,밀,임분고 15m 이상 17m미만,1892.6263667,45763.6469956,37.5529692,126.8570264,서울특별시
1,1,2,49,3,5,C,26,J11249,ARP-35C,2023,,활엽수림,아까시나무,대경목,5영급,밀,임분고 25m 이상 27m미만,740.683960955,10959.3854485,37.5710776,126.8908382,서울특별시
1,1,2,49,3,5,C,16,J11249,ARP-35C,2023,,활엽수림,아까시나무,대경목,5영급,밀,임분고 15m 이상 17m미만,3515.98450552,145851.633152,37.610209,126.9032734,서울특별시
1,1,2,49,3,5,C,24,J11249,ARP-35C,2023,,활엽수림,아까시나무,대경목,5영급,밀,임분고 23m 이상 25m미만,236.496038677,3959.7144502,37.5419714,126.8763269,서울특별시
1,2,1,11,2,4,C,14,J12111,NPD-24C,2017,,침엽수림,소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,490.62597403,9143.4377012,37.5434083,126.8794986,서울특별시
1,2,1,11,2,4,C,24,J12111,NPD-24C,2020,,침엽수림,소나무,중경목,4영급,밀,임분고 23m 이상 25m미만,426.114016269,4928.55095384,37.544501,126.8772416,서울특별시
1,2,1,11,2,4,C,14,J12111,NPD-24C,2017,,침엽수림,소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,521.108108862,6083.81011918,37.5708024,126.8971962,서울특별시
1,2,1,11,2,4,C,02,J12111,NPD-24C,,,침엽수림,소나무,중경목,4영급,밀,임분고 1m 이상 3m미만,1319.09294778,18158.7369182,37.5724494,126.8929529,서울특별시
1,2,1,11,2,5,C,16,J12111,NPD-25C,2025,,침엽수림,소나무,중경목,5영급,밀,임분고 15m 이상 17m미만,281.516063331,3234.76194734,37.5533368,126.8566719,서울특별시
1,2,1,11,2,5,C,26,J12111,NPD-25C,2025,,침엽수림,소나무,중경목,5영급,밀,임분고 25m 이상 27m미만,1026.66296102,16501.490761,37.5719381,126.8963891,서울특별시
1,2,1,11,2,5,C,14,J12111,NPD-25C,,,침엽수림,소나무,중경목,5영급,밀,임분고 13m 이상 15m미만,713.757793501,14351.2095946,37.5887447,126.8897385,서울특별시
1,2,1,11,2,5,C,10,J12111,NPD-25C,2023,,침엽수림,소나무,중경목,5영급,밀,임분고 9m 이상 11m미만,495.699220034,4495.18949901,37.5892405,126.9002149,서울특별시
1,2,2,30,1,2,B,14,J12230,NEB-12B,2020,,활엽수림,기타활엽수,소경목,2영급,중,임분고 13m 이상 15m미만,447.646009437,6631.09147577,37.5423121,126.8608935,서울특별시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,618.191280955,10701.9446792,37.5843834,126.9036872,서울특별시
1,2,2,30,2,4,C,14,J12230,NEB-24C,2019,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,1379.42138105,53836.5966152,37.6118877,126.9013626,서울특별시
1,2,2,30,2,5,C,14,J12230,NEB-25C,,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 13m 이상 15m미만,514.006430638,13714.5198656,37.5881241,126.8904083,서울특별시
1,2,2,30,2,5,C,16,J12230,NEB-25C,2019,,활엽수림,기타활엽수,중경목,5영급,밀,임분고 15m 이상 17m미만,424.839922352,6034.18299491,37.6023816,126.9027204,서울특별시
