HSTR_MNNMB,ETC_PCMTT,임도명,시설거리(km),개설연도,FRRD_FCLTW,FRRD_DV_I,FRRD_DV_B,FRRD_INSTT,FRRD_MGC,FRRD_RGSNO,RBP_X,RBP_Y,REP_X,REP_Y,MAP_LABEL,FR_TH_DV,FR_TH_YR,FRRD_THM,Shape_Leng,지역,위도,경도,상세주소,읍면동
0.0,봉명관리소~3호선,9호선,0.6,2019,4.0,1,2,69,C010160,학술_강원_2019_01,1028685.116,1975220.2453,1028167.5571,1975351.8665,19강원_01,,,,626.457692864,강원특별자치도,37.77620809148394,127.8257318742663,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
0.0,연화사~임도5호선(사방댐),11호선,0.72,2024,4.5,1,3,69,C010160,학술_강원_2024_01,1030361.00608,1978875.65129,1030310.2829,1979374.0461,24강원_01,,,,716.884363768,강원특별자치도,37.809100324837786,127.84491514786305,"성동로, 북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
0.0,"거지울~엄성골,산61-2-5,2000-2007",5호선,9.6,2000,4.0,1,1,69,C010160,학술_강원_2000_01,1030954.0444,1980289.9593,1029237.8978,1981307.6335,00강원_01,,,,9580.9069548,강원특별자치도,37.821827583349254,127.85171269471948,"북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
0.0,"물터삼거리~면내,동산면원창리산1,준공:1998",4호선,6.18,1996,4.0,1,1,69,C010160,학술_강원_1996_02,1027887.5707,1976793.4008,1027258.3418,1978914.2526,96강원_02,,,,7702.11617713,강원특별자치도,37.790411777201115,127.81673603547401,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
0.0,7호선~원창저수지,8호선,1.86,2016,4.0,1,1,69,C010160,학술_강원_2016_02,1026230.4749,1978275.6701,1026429.3454,1977795.7372,16강원_02,,,,1923.38478662,강원특별자치도,37.803820694052426,127.79796929293275,"원창리, 춘천시, 강원특별자치도, 24409, 대한민국",원창리
0.0,7호선~종점,10호선,0.9,2020,4.0,1,1,69,C010160,학술_강원_2020_01,1026239.9279,1977561.4925,1025817.7024,1977285.5696,20강원_01,,,,971.307352528,강원특별자치도,37.79738347971772,127.79805080793189,"원창리, 춘천시, 강원특별자치도, 24409, 대한민국",원창리
0.0,4호선~종점,7호선,1.44,2015,4.0,1,1,69,C010160,학술_강원_2015_02,1026960.9845,1977205.8172,1026239.9279,1977561.4925,15강원_02,,,,1454.8689904,강원특별자치도,37.7941567437623,127.80622771642074,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
0.0,"봉명관리소~새목현,준공1993",1호선,4.46,1992,4.0,1,1,69,C010160,학술_강원_1992_01,1029179.5737,1977086.7258,1027748.71536,1975479.21768,92강원_01,,,,3906.49516248,강원특별자치도,37.79301517456967,127.83142168453205,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
0.0,"2호선~더운짐내기방향,30-5임,준공:1997",3호선,5.82,1996,4.0,1,1,69,C010160,학술_강원_1996_01,1028810.8612,1974334.0766,1029566.3825,1976624.8133,96강원_01,,,,4380.53131365,강원특별자치도,37.76821700648141,127.82712455294612,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
0.0,"새목현~북방,홍천북방면북방리산61-1,준공1995",2호선,7.33,1994,4.0,1,1,69,C010160,학술_강원_1994_01,1030931.3073,1978712.1705,1029272.2116,1976882.0385,94강원_01,,,,6914.63826664,강원특별자치도,37.80760772093315,127.8513869416691,"성동로, 북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
0.0,2호선~산림환경교육센터,6호선,2.4,2013,4.0,1,1,69,C010160,학술_강원_2013_04,1030541.1345,1975033.0423,1030211.5005,1976544.4944,13강원_04,,,,2353.02303897,강원특별자치도,37.77446067259457,127.84679953985508,"강원도자연환경연구공원 생태문화탐방로 구절산코스, 동산면, 춘천시, 강원특별자치도, 24410, 대한민국",동산면
0.0,2호선~산림환경교육센터,6호선,1.15,2014,4.0,1,1,69,C010160,학술_강원_2014_02,1030355.9495,1974590.8195,1030541.1345,1975033.0423,14강원_02,,,,1121.50254965,강원특별자치도,37.77048105025973,127.84467826587456,"강원도자연환경연구공원 생태문화탐방로 구절산코스, 동산면, 춘천시, 강원특별자치도, 24410, 대한민국",동산면
0.0,연화사~임도5호선(사방댐),11호선,1.7,2022,4.0,1,1,69,C010160,학술_강원_2022_01,1029476.6539,1978285.0399,1030433.2422,1977907.2737,22강원_01,,,,1721.3565193,강원특별자치도,37.80380610602252,127.83484461919966,"북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
0.0,연화사~임도5호선(사방댐),11호선,1.5,2023,4.0,1,1,69,C010160,학술_강원_2023_01,1030284.3634,1978531.6031,1029476.6539,1978285.0399,23강원_01,,,,1568.34595043,강원특별자치도,37.80600195333064,127.84403007930325,"북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
0.0,연화사~임도5호선(사방댐),11호선,0.8,2023,4.5,1,3,69,C010160,학술_강원_2023_02,1030284.3634,1978531.6031,1030361.00608,1978875.65129,23강원_02,,,,800.441627326,강원특별자치도,37.80600195333064,127.84403007930325,"북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
0.0,,22갈운,2.2,2022,4.5,1,3,61,1400442,북부_수원_2022_07,1026684.1812,1948055.4739,1027550.2398,1948783.0572,22수원_07,,,,2332.70750962,강원특별자치도,37.53142433264093,127.80201739899957,"경강로, 서원면, 양평군, 경기도, 대한민국",서원면
0.0,,22산수,2.2,2022,4.5,1,3,61,1400438,북부_춘천_2022_01,1013967.5987,1969748.831,1014157.6059,1970466.3602,22춘천_01,,,,1126.04556773,강원특별자치도,37.72723634703114,127.65850377889431,"산수리, 춘천시, 강원특별자치도, 24467, 대한민국",산수리
0.0,,18하오안,1.21,2018,3.5,1,2,61,1400441,북부-홍천-2018-07,1032504.7566,1963595.9761,1032076.6238,1963702.3054,18홍천_07,,,,1444.00871465,강원특별자치도,37.67130908451231,127.86858521150174,"중앙고속도로, 연봉리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
