지역,임도명,시설거리(km),개설연도,위도,경도,상세주소,읍면동
강원특별자치도,15운남,2.1,2015,37.21232584877998,127.91644549730282,"운계리, 원주시, 강원특별자치도, 26501, 대한민국",운계리
강원특별자치도,24병지방,1.4,2024,37.58052218843901,128.08156230158065,"삼거리, 갑천면, 횡성군, 강원특별자치도, 25252, 대한민국",갑천면
강원특별자치도,96병지방,4.7,1996,37.59234351432835,128.0880741342067,"어답산로, 병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
강원특별자치도,97병지방,3.96,1997,37.59120496021955,128.10836551557566,"율동리, 갑천면, 횡성군, 강원특별자치도, 25258, 대한민국",갑천면
강원특별자치도,24율동,2.0,2024,37.58690423312062,128.1001548961375,"율동리, 갑천면, 횡성군, 강원특별자치도, 25258, 대한민국",갑천면
강원특별자치도,90율동,5.5,1990,37.57926338881463,128.10527061283702,"율동리, 갑천면, 횡성군, 강원특별자치도, 25258, 대한민국",갑천면
강원특별자치도,86병지방,6.58,1986,37.60126141791317,128.0853583525068,"어답산로, 병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
강원특별자치도,14병지방,2.08,2014,37.616747253214186,128.05004607385803,"병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
강원특별자치도,06병지방,1.5,2006,37.60483462935226,128.05384044608175,"병지방서길, 병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
강원특별자치도,16병지방,2.1,2016,37.63870618386065,128.06816514987565,"병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
강원특별자치도,17병지방,3.81,2017,37.63177799514461,128.06515401346482,"병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
강원특별자치도,10상안-병지방,2.4,2010,37.61539682743181,128.0616651545208,"병지방서길, 병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
강원특별자치도,17삽교,0.58,2017,37.508491012808605,128.26989156243926,"자포곡리, 둔내면, 횡성군, 강원특별자치도, 25261, 대한민국",둔내면
강원특별자치도,18삽교,1.82,2018,37.50462264802637,128.25955127594537,"자포곡리, 둔내면, 횡성군, 강원특별자치도, 25261, 대한민국",둔내면
강원특별자치도,10하오안,2.62,2010,37.66138674730272,127.84035820655276,"설악로, 하오안리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
강원특별자치도,17하오안,3.98,2017,37.66253161955024,127.8560749143158,"하오안리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
강원특별자치도,23산수1,2.0,2023,37.727615342826766,127.65540075662528,"산수리, 춘천시, 강원특별자치도, 24467, 대한민국",산수리
강원특별자치도,23산수2,1.4,2023,37.72723634703114,127.65850377889431,"산수리, 춘천시, 강원특별자치도, 24467, 대한민국",산수리
강원특별자치도,18유현,1.5,2018,37.54428754544032,127.85539206708572,"유현리, 서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
강원특별자치도,17유현,0.5,2017,37.54657892584,127.8535920496841,"유현리, 서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
강원특별자치도,89유현,1.54,1989,37.54524012847737,127.87828226166958,"서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
강원특별자치도,88유현,2.68,1988,37.52881924436669,127.87502775557884,"유현리, 서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
강원특별자치도,96유현,11.92,1996,37.527921956441766,127.86503611568108,"유현리, 서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
강원특별자치도,92덕밭재,9.94,1992,37.81765628464766,127.88328124144994,"덕밭재길, 풍천리, 화촌면, 홍천군, 강원특별자치도, 25156, 대한민국",화촌면
강원특별자치도,13풍천(Ⅰ),3.43,2013,37.81874944103371,127.86491782461523,"풍천리, 화촌면, 홍천군, 강원특별자치도, 25156, 대한민국",화촌면
강원특별자치도,15초원,3.0,2015,37.55755981634553,127.90607542988948,"상창봉리, 공근면, 횡성군, 강원특별자치도, 25203, 대한민국",공근면
강원특별자치도,16초원,3.0,2016,37.55049681709316,127.92299361222868,"초원리, 공근면, 횡성군, 강원특별자치도, 25209, 대한민국",공근면
강원특별자치도,18초원-상창봉,3.9,2018,37.556923405767,127.92024948181968,"초원리, 공근면, 횡성군, 강원특별자치도, 25209, 대한민국",공근면
강원특별자치도,16창봉,2.5,2016,37.5654449059321,127.91109002370698,"상창봉리, 공근면, 횡성군, 강원특별자치도, 25203, 대한민국",공근면
강원특별자치도,15상창봉,3.5,2015,37.570685882152674,127.9005460656188,"상창봉리, 공근면, 횡성군, 강원특별자치도, 25203, 대한민국",공근면
강원특별자치도,90상창봉,10.26,1990,37.57549537751847,127.91373596869848,"상창봉리, 공근면, 횡성군, 강원특별자치도, 25203, 대한민국",공근면
강원특별자치도,91유치,7.84,1991,37.571419880082175,127.85779694110892,"유치리, 남면, 홍천군, 강원특별자치도, 25110, 대한민국",남면
강원특별자치도,21상창봉,2.6,2021,37.558293817352045,127.88237687141488,"상창봉리, 공근면, 횡성군, 강원특별자치도, 25203, 대한민국",공근면
강원특별자치도,20상창봉,1.76,2020,37.56356801594188,127.87437194928428,"상창봉리, 공근면, 횡성군, 강원특별자치도, 25203, 대한민국",공근면
강원특별자치도,10판대,5.0,2010,37.388914953914224,127.80407917741906,"판대리, 원주시, 강원특별자치도, 26357, 대한민국",판대리
강원특별자치도,19황둔,0.5,2019,37.22697077996226,128.16812666276454,"황둔리, 원주시, 강원특별자치도, 26508, 대한민국",황둔리
