amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm,가까운_지점,가까운_기상지점명,기상지점거리_km,지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),일시_dt,지점_clean,지점주소_x,시작일,종료일,지점주소_y,위도,경도
4789.0,44,4542,10,44210390,4,,0,24,44210,2020,24,126.5908773,36.693978,충청남도 서산시 해미면 대곡리 산50-1,입산자실화추정,금요일,4.0,2020-04-24,2020,2131,694,원효봉,2.017433960529537,694.0,원효봉,2020-04-24,4.9,0.0,9.0,2020-04-24,원효봉,충청남도 예산군 덕산면 대치리,2002-12-16,2022-10-21,충청남도 예산군 덕산면 대치리,36.7044,126.6094
3746.0,45,4541,2240,45730320,4,,0,24,45730,2020,24,127.8239489,36.0103997,전라북도 무주군 설천면 대불리 산66-3,입산자실화,금요일,4.0,2020-04-24,2020,1829,701,무주,13.695353973181788,701.0,무주,2020-04-24,8.7,0.0,2.6,2020-04-24,무주,전북특별자치도 무주군 무주읍 당산리,2015-07-13,2020-08-14,전라북도 무주군 무주읍 당산리,36.004,127.6719
2495.0,26,4540,1732,26380105,4,,0,24,26380,2020,24,128.9663,35.0772123,부산광역시 사하구 장림동 산163,담뱃불실화,금요일,4.0,2020-04-24,2020,1643,950,사하,2.141628085261999,950.0,사하,2020-04-24,10.6,0.0,3.1,2020-04-24,사하,부산광역시 사하구 신평동,2011-12-08,2023-11-01,부산광역시 사하구 신평동,35.09,128.9839
106258939.0,47,4538,1800,47170340,4,,1944,27,47170,2020,24,128.5426121,36.5306261,경상북도 안동시 풍천면 인금리 산114,입산자실화추정,금요일,4.0,2020-04-24,2020,1539,820,하회,2.416504822378388,820.0,하회,2020-04-24,8.9,0.0,3.6,2020-04-24,하회,경상북도 안동시 풍천면 하회리,2012-11-20,2099-12-31,경상북도 안동시 풍천면 하회리,36.5482,128.5267
57103.0,42,4537,1420,42110340,4,,1,24,42110,2020,24,127.54185,37.7496722,강원도 춘천시 남면 관천리 산1,원인미상,금요일,4.0,2020-04-24,2020,1307,675,남이섬,4.6321071136334,675.0,남이섬,2020-04-24,8.3,0.0,1.8,2020-04-24,남이섬,강원특별자치도 춘천시 남산면 방하리,2011-06-07,2023-11-01,강원특별자치도 춘천시 남산면 방하리,37.7898,127.5277
78092.0,43,4536,1530,43800320,4,,2,24,43800,2020,24,128.4351893,37.0583585,충청북도 단양군 가곡면 향산리 산27-1,입산자실화(담뱃불),금요일,4.0,2020-04-24,2020,1230,638,영춘,5.2068059170298175,638.0,영춘,2020-04-24,9.1,0.0,3.9,2020-04-24,영춘,충청북도 단양군 영춘면 하리,2015-07-13,2022-11-25,충청북도 단양군 영춘면 상리,37.0835,128.4847
32472.0,42,4535,1400,42780256,4,,1,24,42780,2020,24,127.3403055,38.1943278,강원도 철원군 갈말읍 문혜리 산118,입산자실화추정,금요일,4.0,2020-04-24,2020,1135,552,김화,5.9567249533473134,552.0,김화,2020-04-24,6.8,0.0,1.9,2020-04-24,김화,강원특별자치도 철원군 김화읍 청양리,2015-07-13,2020-10-23,강원도 철원군 김화읍 학사리,38.2722,127.4245
4927.0,44,4534,1853,44210250,4,,0,23,44210,2020,23,126.4309593,36.9692342,충청남도 서산시 대산읍 대로리 89-154,입산자실화,목요일,4.0,2020-04-23,2020,1650,606,대산,5.970516924516119,606.0,대산,2020-04-23,9.1,0.0,4.8,2020-04-23,대산,충청남도 서산시 대산읍 대죽리,2015-12-23,2022-09-27,충청남도 서산시 대산읍 대죽리,37.0106,126.3881
9398.0,42,4532,1610,42810250,4,,0,22,42810,2020,22,128.1312778,38.12315,강원도 인제군 인제읍 가아리 산1,화목보일러불씨취급부주의,수요일,4.0,2020-04-22,2020,1423,321,원통,5.765256462200244,321.0,원통,2020-04-22,5.2,0.0,3.5,2020-04-22,원통,(산지)강원특별자치도 인제군 북면 원통리,2017-01-13,2021-07-20,(산지)강원도 인제군 북면 원통리,38.1147,128.1963
21602.0,42,4531,1515,42150310,4,,0,22,42150,2020,22,128.7846945,37.7610028,강원도 강릉시 성산면 보광리 산324,원인미상,수요일,4.0,2020-04-22,2020,1348,678,강릉성산,4.061079508439244,678.0,강릉성산,2020-04-22,4.1,0.0,3.2,2020-04-22,강릉성산,(산지)강원특별자치도 강릉시 성산면 어흘리,2019-05-02,2020-10-23,(산지)강원도 강릉시 성산면 어흘리,37.7248,128.7786
