amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm
60641,41,3428,1800,41171102,08,,0,19,41171,2018,18,14130711.37,4498811.752,경기도 안양시 만안구 석수동 산11-2,입산자 실화추정,토요일,08,20180818,2018,2359
3964,43,3427,1923,43720400,08,,0,18,43720,2018,18,14222221.89,4375417.586,충청북도 보은군 산외면 문암리 산31-1,입산자 실화,토요일,08,20180818,2018,1801
3156,46,3426,1848,46170350,08,,0,18,46170,2018,18,14088922.81,4160890.068,전라남도 나주시 동강면 운산리 산16,원인미상,토요일,08,20180818,2018,1625
43685,45,3425,1730,45111136,08,,1,18,45111,2018,18,14147200.57,4270189.94,전라북도 전주시 완산구 용복동 산38-1,담뱃불 실화추정,토요일,08,20180818,2018,1428
1976,45,3424,1600,45790390,08,,0,18,45790,2018,18,14085459.55,4229842.143,전라북도 고창군 심원면 궁산리 산9-13,성묘객 실화,토요일,08,20180818,2018,1310
1659,46,3423,1532,46910390,08,,0,18,46910,2018,18,14049671.23,4112693.136,전라남도 신안군 장산면 마진도리 산20,묘지 성묘객 실화,토요일,08,20180818,2018,1255
3815,47,3422,1400,47250420,08,,0,18,47250,2018,18,14237233.66,4379890.844,경상북도 상주시 화북면 장암리 산38-1,입산자 실화추정,토요일,08,20180818,2018,1104
334642,42,3421,1820,42110310,08,,9,17,42110,2018,17,14227735.21,4569787.588,강원도 춘천시 동면 월곡리 산33 외 11,입산자 실화추정,토요일,08,20180817,2018,1346
13496,41,3420,1900,41830320,08,,0,17,41830,2018,17,14181208.01,4505636.737,경기도 양평군 강하면 왕창리 산28,산림사업 작업장 실화추정,금요일,08,20180817,2018,1300
2423,41,3419,0900,41271110,08,,0,16,41271,2018,16,14124605.61,4482119.254,경기도 안산시 상록구 팔곡일동 산41-29,등산객 실화추정,목요일,08,20180816,2018,0650
26788,41,3418,0900,41171102,08,,0,16,41171,2018,15,14128330.14,4500484.775,경기도 안양시 만안구 석수동 산11-49,입산자 실화추정,공요일,08,20180815,2018,1833
13043,44,3417,1952,44790380,08,,0,15,44790,2018,15,14104207.2,4364430.016,충청남도 청양군 화성면 화암리 산129,입산자 실화,공요일,08,20180815,2018,1600
1019039,47,3415,0900,47720340,08,,32,16,47720,2018,15,14322048.98,4330937.757,경상북도 군위군 우보면 두북리 산2-2,농산폐기물 소각추정,공요일,08,20180815,2018,1230
8957,42,3414,1400,42730320,08,,0,15,42730,2018,15,14269398.54,4497879.746,강원도 횡성군 안흥면 상안리 산201,입산자 실화,공요일,08,20180815,2018,1220
15381,41,3413,1440,41410106,08,,0,12,41410,2018,12,14126081.7,4485847.502,경기도 군포시 둔대동 산1-4,입산자 실화,일요일,08,20180812,2018,1100
9248,47,3412,1850,47250460,08,,0,09,47250,2018,09,14263633.19,4384908.887,경상북도 상주시 이안면 안용리 산78-10,입산자 실화추정,목요일,08,20180809,2018,1630
2127,26,3411,1617,26500103,08,,0,09,26500,2018,09,14374451.41,4186083.727,부산광역시 수영구 민락동 산29-1,방화,목요일,08,20180809,2018,1542
5638,48,3409,1600,48820250,08,,0,08,48820,2018,08,14283396.41,4161114.645,경상남도 고성군 고성동1가 대평리 산20-1,창고화재 비화,수요일,08,20180808,2018,1214
1649,41,3408,1630,41830360,08,,0,07,41830,2018,07,14210966.82,4518771.126,경기도 양평군 단월면 향소리 산31,풀베기 작업 후 발화추정,화요일,08,20180807,2018,1451
22768,46,3407,1920,46840330,08,,0,06,46840,2018,06,14078348.46,4159222.382,전라남도 무안군 청계면 청천리 640-3,원인미상,월요일,08,20180806,2018,1600
2938,42,3406,1933,42150320,08,,0,05,42150,2018,05,14342619.49,4513373.082,강원도 강릉시 왕산면 고단리 산92-1,입산자 실화추정,일요일,08,20180805,2018,1828
2206,42,3405,1810,42720350,08,,0,05,42720,2018,05,14242069.71,4527975.075,강원도 홍천군 동면 월운리 산13-1,입산자 실화,일요일,08,20180805,2018,1635
666,47,3404,1500,47760310,08,,0,05,47760,2018,05,14367948.01,4377932.126,경상북도 영양군 입암동 병옥리 산27-47,고추씨 발효로 자연발화 추정,일요일,08,20180805,2018,1348
1218000,48,5792,1440,48870320,12,,0,02,48870,2022,02,14221756.9331,4228287.49828999,경상남도 함양군 휴천면 호산리 산117-9,건축물실화(전기누전),금요일,12,20221202,2022,1343
6902000,48,5791,1445,48870320,04,,0,06,48870,2022,06,14221316.7534999,4229688.63329999,경상남도 함양군 휴천면 목현리 산37-5,입산자실화추정,수요일,04,20220406,2022,1400
18646000,48,5790,1722,48870320,01,,0,28,48870,2022,28,14222004.8527,4229740.86935999,경상남도 함양군 휴천면 호산리 산96-5,축사화재,금요일,01,20220128,2022,1355
7149000,48,5789,2001,48870320,05,,0,28,48870,2022,28,14223309.0384999,4224399.68188,경상남도 함양군 휴천면 남효리 산1-9,담뱃불실화,토요일,05,20220528,2022,1836
5581000,48,5788,2300,48870310,02,,0,25,48870,2022,25,14213040.706,4222186.10367999,경상남도 함양군 마천면 창원리 산100-1,아궁이재취급부주의,금요일,02,20220225,2022,2103
760255000,48,5787,0903,48870310,03,,16,05,48870,2022,04,14210448.7206999,4219109.0114,경상남도 함양군 마천면 가흥리 산19-3,입산자실화,금요일,03,20220304,2022,2154
8393000,48,5786,1530,48870310,05,,0,27,48870,2022,27,14217383.7914,4217183.71700999,경상남도 함양군 마천면 추성리 산27,주택화재,금요일,05,20220527,2022,1250
386445000,48,5785,2300,48870250,02,경상남도 함양군 함양읍 함양로 297,8,25,48870,2022,25,14211528.2971,4228954.7437,경상남도 함양군 함양읍 죽림리 산62,입산자실화추정,금요일,02,20220225,2022,1425
467000,48,5784,1010,48860400,11,,0,03,48860,2022,03,14249467.1707,4217798.88803999,경상남도 산청군 신등면 양전리 산18,농산폐기물소각,목요일,11,20221103,2022,0940
1093000,48,5783,1233,48860400,04,,0,19,48860,2022,19,14248029.5350999,4219974.18635,경상남도 산청군 신등면 장천리 산218,입산자실화추정,화요일,04,20220419,2022,1131
87323000,48,5782,1033,48860400,04,,2,10,48860,2022,10,14246200.0995,4222760.43125,경상남도 산청군 신등면 장천리 산89,원인미상,일요일,04,20220410,2022,0752
3380000,48,5781,1710,48860390,12,,0,27,48860,2022,27,14256821.9937999,4217199.05183,경상남도 산청군 생비량면 제보리 산76-1,창고화재(용접),화요일,12,20221227,2022,1535
24004000,48,5780,1640,48860370,03,경상남도 산청군 단성면 지리산대로 2634-32,0,06,48860,2022,06,14239082.309,4200114.781,경상남도 산청군 단성면 길리 산146-2,드론추락의베터리폭발,일요일,03,20220306,2022,1402
920000,48,5779,2025,48860370,04,,0,24,48860,2022,24,14233535.3033,4199826.98250999,경상남도 산청군 단성면 자양리 산102-4,입산자실화추정,일요일,04,20220424,2022,1837
25622000,48,5778,1800,48860360,02,경상남도 산청군 시천면 남명로101번길 164-26,0,14,48860,2022,14,14228175.6149,4201590.52558999,경상남도 산청군 시천면 원리 산54,쓰레기소각(생활),월요일,02,20220214,2022,1607
