발생연도,발생일자,발생시간,진화시간_분,주소,시군구,발생원인,피해면적,대형산불여부,평균기온(°C),일강수량(mm),평균 풍속(m/s),기상데이터_출처
2023,20230308,1046,374.0,대구광역시 동구 백안동 산 98,동구,쓰레기소각,1,False,14.8,0.0,0.8,대구광역시 동구 신암동
2023,20231018,1207,59.0,대구광역시 동구 진인동 산 151-1,동구,원인미상,0,False,16.1,0.0,0.7,대구광역시 동구 신암동
2023,20230910,1216,34.0,부산광역시 기장군 철마면 안평리 산 7,기장군,영정사진소각,0,False,24.0,0.0,2.1,부산광역시 기장군 장안읍 길천리
2023,20230201,1807,113.0,부산광역시 기장군 철마면 이곡리 산 16,기장군,전기누전,0,False,9.0,0.0,2.1,부산광역시 기장군 장안읍 길천리
2023,20230204,1054,156.0,부산광역시 기장군 일광읍 용천리 산 256-1,기장군,담뱃불실화,0,False,4.0,0.0,1.7,부산광역시 기장군 장안읍 길천리
2023,20230317,1623,97.0,부산광역시 기장군 정관읍 월평리 산 24,기장군,쓰레기소각,0,False,9.8,0.0,2.4,부산광역시 기장군 장안읍 길천리
2023,20230224,1420,,부산광역시 기장군 정관읍 병산리 산 106-8,기장군,담뱃불실화,3,False,8.6,0.0,1.8,부산광역시 기장군 장안읍 길천리
2023,20230124,1253,22.0,부산광역시 기장군 장안읍 월내리 산 7,기장군,캠핑장숯더미발화,0,False,-5.3,0.0,3.7,부산광역시 기장군 장안읍 길천리
2023,20230104,1636,324.0,부산광역시 기장군 기장읍 대변리 245-6,기장군,건축물실화,0,False,3.2,0.0,1.9,부산광역시 기장군 장안읍 길천리
2023,20230504,1118,27.0,부산광역시 연제구 연산동 산 183-2,연제구,입산자실화추정,0,False,17.275000000000002,1.2083333333333333,2.690909090909091,부산 광역 평균
2023,20230512,908,21.0,부산광역시 연제구 연산동 산 183-1,연제구,입산자실화추정,0,False,16.758333333333333,0.3333333333333333,2.163636363636364,부산 광역 평균
2023,20230108,435,445.0,부산광역시 강서구 녹산동 산 16,강서구,입산자실화,0,False,5.9,0.0,2.2,부산 광역 평균
2023,20230316,1202,58.0,부산광역시 금정구 금성동 산 5-5,금정구,담뱃불실화추정,0,False,11.1,0.0,1.7,부산광역시 금정구 두구동
2023,20230307,1553,187.0,부산광역시 금정구 오륜동 산 157-2,금정구,입산자실화,0,False,10.0,0.0,1.5,부산광역시 금정구 두구동
2023,20230103,853,90.0,부산광역시 금정구 남산동 857-20,금정구,입산자실화,0,False,-1.7,0.0,0.9,부산광역시 금정구 두구동
2023,20231124,2255,145.0,부산광역시 금정구 노포동 807-1,금정구,비닐하우스화재비화,0,False,5.6,0.0,2.2,부산광역시 금정구 두구동
2023,20230128,1828,62.0,부산광역시 금정구 두구동 산 59-1,금정구,쓰레기소각,0,False,-2.8,0.0,2.6,부산광역시 금정구 두구동
2023,20230126,1753,67.0,부산광역시 사하구 괴정동 산 37-1,사하구,방화,0,False,-0.2,0.0,2.6,부산광역시 사하구 신평동
2023,20230311,2316,104.0,서울특별시 도봉구 도봉동 산 6-1,도봉구,방화추정,0,False,14.0,0.0,1.2,서울특별시 도봉구 방학동
2023,20230402,1153,2707.0,서울특별시 종로구 부암동 362-24,종로구,담뱃불실화,6,False,18.133333333333333,0.0,1.6074074074074074,서울 광역 평균
2022,20220505,511,89.0,경상남도 합천군 가회면 오도리 산60-5,합천군,전기합선,0,False,15.725,0.0,1.425,경상남도 합천군 가야면 치인리
2022,20220228,1420,4540.0,경상남도 합천군 율곡면 노양리 산83,합천군,입산자실화추정,814,True,4.55,0.0,1.5,경상남도 합천군 가야면 치인리
2022,20220104,1852,53.0,경상남도 거창군 가조면 석강리 산152-1,거창군,농산부산물소각,0,False,1.1,0.0,2.1,경상남도 거창군 북상면 갈계리
2022,20220410,1402,48.0,경상남도 거창군 주상면 성기리 산25,거창군,컨테이너화재비화,0,False,15.6,0.0,1.2,경상남도 거창군 북상면 갈계리
2022,20220305,1400,109.0,경상남도 거창군 거창읍 양평리 산15-3,거창군,입산자실화추정,1,False,3.3,0.0,3.9,경상남도 거창군 북상면 갈계리
2022,20220306,1042,78.0,경상남도 함양군 서하면 운곡리 산213-1,함양군,입산자실화추정,0,False,2.4,0.0,2.6500000000000004,경상남도 함양군 함양읍 백천리
2022,20221219,944,58.0,경상남도 함양군 서하면 황산리 산88-1,함양군,입산자실화추정,0,False,-4.699999999999999,0.0,1.25,경상남도 함양군 함양읍 백천리
2022,20221102,1838,56.0,경상남도 함양군 유림면 손곡리 산72,함양군,방화추정,0,False,10.25,0.0,1.15,경상남도 함양군 함양읍 백천리
2022,20220523,1828,47.0,경상남도 함양군 유림면 손곡리 산24-4,함양군,방화추정,0,False,22.05,0.0,1.35,경상남도 함양군 함양읍 백천리
2022,20221206,1301,89.0,경상남도 함양군 유림면 유평리 산119-1,함양군,방화추정,0,False,2.0,0.0,2.55,경상남도 함양군 함양읍 백천리
2021,20210213,1401,239.0,서울특별시 강남구 자곡동 산39-1,강남구,입산자실화추정,0,False,6.3,0.0,0.6,서울특별시 강남구 일원동
2021,20210317,2302,182.0,서울특별시 서초구 우면동 산34-1,서초구,입산자실화,0,False,8.9,0.0,1.2,서울특별시 서초구 서초동
2021,20210401,1855,155.0,서울특별시 관악구 신림동 산76-2,관악구,미상,0,False,16.799999999999997,0.0,1.85,서울특별시 관악구 남현동
2021,20210117,2352,248.0,서울특별시 노원구 상계동 산153-1,노원구,입산자실화추정,0,False,-5.7,0.0,1.1,서울특별시 노원구 공릉동
2020,20201231,1308,172.0,경기도 양평군 옥천면 옥천리 산10-3,양평군,야영장모닥불,0,False,-11.8,0.0,1.2,경기도 양평군 용문면 중원리
2020,20201230,2229,141.0,경기도 남양주시 수동면 내방리 산18-1,남양주시,담뱃불실화,0,False,-9.4,0.0,3.4,경기도 남양주시 진건읍 배양리
2020,20201228,1537,98.0,충청남도 금산군 남이면 대양리 산117,금산군,건축물실화(주택화재비화),0,False,4.865625,0.0,1.3875,충남 광역 평균
